x,y,output
-51,56,-230
50,-79,-609
56,-62,-300
40,24,6656
51,25,9652
100,7,22149
85,-45,5000
95,-91,396
9,-37,532
11,-29,126
24,65,10057
-63,78,-720
67,-77,-570
-68,-43,19869
53,-2,5304
95,-28,10854
0,21,441
-77,-96,43250
-35,-47,9594
-29,83,1350
80,-11,10281
-24,-45,6417
55,95,30750
-90,-14,20176
42,-47,-185
33,-33,0
69,-89,-980
68,100,39648
69,-32,3922
15,-95,5200
39,-9,2070
-84,29,7645
18,45,5103
79,-34,5580
-76,84,-544
-64,-99,37001
68,74,29820
-30,-82,15904
80,9,15041
76,-17,7965
-56,91,-735
41,9,4550
93,84,47790
-76,-78,35420
23,-98,3900
88,25,22713
-59,-36,14630
-40,82,84
-4,-9,221
-45,20,1750
-44,95,357
11,-2,180
-97,91,618
26,-100,3552
77,-9,9860
-36,-35,7597
93,-96,-270
87,-40,6298
68,36,17888
51,12,7182
-28,-60,10208
-46,38,432
86,72,38552
6,-34,616
-96,-80,47872
47,99,28178
-33,-62,12160
47,-34,780
1,-25,552
43,26,7728
-66,-67,26467
27,-53,-26
-88,38,6900
51,-49,106
-42,92,400
-15,56,1066
30,96,19656
48,19,7705
94,51,34655
-73,8,8970
47,-70,-552
-35,-37,7704
89,11,18900
52,80,24288
84,14,17836
5,-67,3534
-14,-34,2976
76,-25,6477
76,33,20165
1,-96,8930
58,61,21063
-68,-79,31605
-75,100,-1250
59,-95,-828
-41,50,-288
-87,-83,43690
-52,-71,21525
7,-4,30
-84,-88,44032
9,38,2632
